sample_id,membership,dataset,model,neg_loss,confidence,neg_entropy,modified_entropy
member_7831,1,credit_default,random_forest,-0.15082289278507233,0.8600000143051147,-0.40496349334716797,-0.042230408638715744
member_13459,1,credit_default,random_forest,-0.1625189334154129,0.8500000238418579,-0.42270907759666443,-0.04875567927956581
member_450,1,credit_default,random_forest,-0.046043939888477325,0.9549999833106995,-0.18352113664150238,-0.004143954254686832
member_11499,1,credit_default,random_forest,-0.03045920841395855,0.9700000286102295,-0.13474217057228088,-0.0018275524489581585
member_5538,1,credit_default,random_forest,-0.12216763198375702,0.8849999904632568,-0.3568430244922638,-0.02809855528175831
member_7289,1,credit_default,random_forest,0.0,1.0,-2.7631020735330303e-11,-1.999933577551698e-24
member_8154,1,credit_default,random_forest,-0.035627178847789764,0.9649999737739563,-0.1517144739627838,-0.0024939023423939943
member_2523,1,credit_default,random_forest,0.0,1.0,-2.7631020735330303e-11,-1.999933577551698e-24
member_11089,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_6264,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_7730,1,credit_default,random_forest,-0.5191938877105713,0.5950000286102295,-0.6749869585037231,-0.4205470383167267
member_6144,1,credit_default,random_forest,-0.13926206529140472,0.8700000047683716,-0.3863866925239563,-0.0362081378698349
member_2882,1,credit_default,random_forest,-0.3285040557384491,0.7200000286102295,-0.5929533243179321,-0.18396227061748505
member_13884,1,credit_default,random_forest,-0.09431067854166031,0.9100000262260437,-0.30253782868385315,-0.016975922510027885
member_2108,1,credit_default,random_forest,-0.1625189334154129,0.8500000238418579,-0.42270907759666443,-0.04875567927956581
member_9057,1,credit_default,random_forest,-0.1984509378671646,0.8199999928474426,-0.47139349579811096,-0.07144233584403992
member_11486,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_9961,1,credit_default,random_forest,-0.23572233319282532,0.7900000214576721,-0.5139566659927368,-0.0990033820271492
member_1576,1,credit_default,random_forest,-0.4079682528972626,0.6650000214576721,-0.6376631855964661,-0.2733387053012848
member_9591,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_13131,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_9629,1,credit_default,random_forest,-0.07796154171228409,0.925000011920929,-0.26638445258140564,-0.011694231070578098
member_10848,1,credit_default,random_forest,-0.3424903154373169,0.7099999785423279,-0.6021516919136047,-0.19864438474178314
member_14980,1,credit_default,random_forest,-0.015113637782633305,0.9850000143051147,-0.07788250595331192,-0.00045340912765823305
member_5040,1,credit_default,random_forest,-0.267879456281662,0.7649999856948853,-0.5452476739883423,-0.12590333819389343
member_12109,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_4357,1,credit_default,random_forest,-0.3354727327823639,0.7149999737739563,-0.5976138710975647,-0.19121946394443512
member_12055,1,credit_default,random_forest,-0.07257069647312164,0.9300000071525574,-0.25363895297050476,-0.010159896686673164
member_11896,1,credit_default,random_forest,-0.025317808613181114,0.9750000238418579,-0.11690685153007507,-0.0012658904306590557
member_5809,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_13137,1,credit_default,random_forest,-0.056570351123809814,0.9449999928474426,-0.2129821926355362,-0.0062227388843894005
member_5760,1,credit_default,random_forest,-0.040821995586156845,0.9599999785423279,-0.16794414818286896,-0.003265759674832225
member_6605,1,credit_default,random_forest,-0.05129329487681389,0.949999988079071,-0.19851523637771606,-0.005129329394549131
member_10502,1,credit_default,random_forest,-0.4079682528972626,0.6650000214576721,-0.6376631855964661,-0.2733387053012848
member_11561,1,credit_default,random_forest,-0.005012542009353638,0.9950000047683716,-0.031479064375162125,-5.0125418056268245e-05
