dataset,model,attack_score,context,n_nonmembers,target_fpr,expected_false_positives,warning
credit_default,random_forest,neg_loss,full_input,1000,0.01,10.0,
credit_default,random_forest,neg_loss,full_input,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,sample_size_250,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,sample_size_250,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,sample_size_500,500,0.01,5.0,
credit_default,random_forest,neg_loss,sample_size_500,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,confidence,full_input,1000,0.01,10.0,
credit_default,random_forest,confidence,full_input,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,confidence,sample_size_250,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,confidence,sample_size_250,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,confidence,sample_size_500,500,0.01,5.0,
credit_default,random_forest,confidence,sample_size_500,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_entropy,full_input,1000,0.01,10.0,
credit_default,random_forest,neg_entropy,full_input,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_entropy,sample_size_250,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_entropy,sample_size_250,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_entropy,sample_size_500,500,0.01,5.0,
credit_default,random_forest,neg_entropy,sample_size_500,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,modified_entropy,full_input,1000,0.01,10.0,
credit_default,random_forest,modified_entropy,full_input,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,modified_entropy,sample_size_250,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,modified_entropy,sample_size_250,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,modified_entropy,sample_size_500,500,0.01,5.0,
credit_default,random_forest,modified_entropy,sample_size_500,500,0.001,0.5,severe_tail_resolution_warning
