dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.49669075555555553,0.48949582766666666,0.5038635769444444,0.01436774927777773,0.95,1000,20260603,15000,15000
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0088,0.007066666666666666,0.011335,0.004268333333333333,0.95,1000,20260604,15000,15000
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0005333333333333334,6.666666666666667e-05,0.0012666666666666666,0.0012,0.95,1000,20260605,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5165283933333333,0.5095788479444444,0.5228640762777778,0.013285228333333343,0.95,1000,20260703,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0096,0.007266666666666667,0.012201666666666666,0.004934999999999999,0.95,1000,20260704,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011333333333333334,0.0004991666666666674,0.002,0.0015008333333333328,0.95,1000,20260705,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,AUC,0.7584220711111112,0.7530117168888889,0.7638747643333333,0.01086304744444444,0.95,1000,20260803,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.048731782945736435,0.041954922202923725,0.05574605203207581,0.013791129829152086,0.95,1000,20260804,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.005069767441860465,0.0036848737373737376,0.007219341856060606,0.0035344681186868683,0.95,1000,20260805,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,AUC,0.7584220711111112,0.7532126357222222,0.7639741213888889,0.010761485666666681,0.95,1000,20260903,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.048731782945736435,0.04197345161418576,0.05560141221374045,0.013627960599554692,0.95,1000,20260904,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.005069767441860465,0.003735756401617251,0.007454545454545455,0.003718789052928204,0.95,1000,20260905,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.9976632533333334,0.9970252998333333,0.9982537697777778,0.0012284699444444769,0.95,1000,20261003,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.9988,0.9982666666666666,0.9993333333333333,0.0010666666666666602,0.95,1000,20261004,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.36541463414634145,0.27744444444444444,0.5166551724137931,0.23921072796934867,0.95,1000,20261005,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,AUC,0.5032664155555555,0.49657294755555553,0.5098564044444445,0.013283456888888934,0.95,1000,20261103,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.010066666666666666,0.007933333333333334,0.011933333333333334,0.004,0.95,1000,20261104,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006,6.666666666666667e-05,0.0016016666666666653,0.0015349999999999986,0.95,1000,20261105,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5032664133333333,0.49687995116666667,0.5093066842777778,0.012426733111111143,0.95,1000,20261203,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.010066666666666666,0.008,0.012068333333333332,0.004068333333333332,0.95,1000,20261204,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006,0.00013333333333333334,0.0016,0.0014666666666666667,0.95,1000,20261205,15000,15000
covertype,logistic_regression,neg_entropy,best_auc_score,AUC,0.5007097630501208,0.49928173442503315,0.5022710560703609,0.0029893216453277804,0.95,1000,20261303,290506,290506
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@1%FPR,0.009782930473036702,0.009328292703076701,0.010278617309108933,0.000950324606032232,0.95,1000,20261304,290506,290506
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0009672777842798428,0.0008088473215699505,0.0011360350560745732,0.00032718773450462276,0.95,1000,20261305,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,AUC,0.5003382028257147,0.49891859288853413,0.5018651761659818,0.0029465832774476786,0.95,1000,20261403,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@1%FPR,0.009824237709376054,0.009373214322595748,0.010302971367200677,0.0009297570446049289,0.95,1000,20261404,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0009569509751950045,0.0007986065692274859,0.0011221799205524154,0.0003235733513249295,0.95,1000,20261405,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5068155603841811,0.5052463866423527,0.508282258306047,0.003035871663694345,0.95,1000,20261503,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.010306155466668503,0.009810382573853898,0.010794957763350843,0.0009845751894969456,0.95,1000,20261504,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.000996870109546166,0.0008906804044354756,0.0011173925399175213,0.00022671213548204573,0.95,1000,20261505,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5067811146286483,0.505291136955615,0.5081887913343498,0.002897654378734793,0.95,1000,20261603,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.010392418745223852,0.009841368164512955,0.010956744439013308,0.0011153762745003525,0.95,1000,20261604,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0009945652173913044,0.0008865806406974331,0.001123547388895438,0.00023696674819800477,0.95,1000,20261605,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,AUC,0.699628052558467,0.698296426482249,0.7009670485480722,0.002670622065823247,0.95,1000,20261703,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@1%FPR,0.031477461512902864,0.03079431288402723,0.032235746129249294,0.0014414332452220638,0.95,1000,20261704,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0031477461512902866,0.003076083313767776,0.003226725436708901,0.00015064212294112504,0.95,1000,20261705,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,AUC,0.6995279023293506,0.6982580537545786,0.7009866142007208,0.0027285604461422253,0.95,1000,20261803,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.031477461512902864,0.03077880324702103,0.032281584492132004,0.0015027812451109748,0.95,1000,20261804,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0031477461512902866,0.003077538238283722,0.0032232041627820703,0.00014566592449834822,0.95,1000,20261805,290506,290506
covertype,extra_trees,confidence,best_auc_score,AUC,0.9768765533241999,0.9765013459274507,0.9772380776989116,0.0007367317714608301,0.95,1000,20261903,290506,290506
covertype,extra_trees,confidence,best_auc_score,TPR@1%FPR,0.21623074060290287,0.2127302320334829,0.2196148692755097,0.0068846372420267865,0.95,1000,20261904,290506,290506
covertype,extra_trees,confidence,best_auc_score,TPR@0.1%FPR,0.02162307406029029,0.021274658965324034,0.021966634921883266,0.000691975956559232,0.95,1000,20261905,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,AUC,0.9768765533241999,0.9765133508430118,0.9772416920820912,0.0007283412390793886,0.95,1000,20262003,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@1%FPR,0.21623074060290287,0.21271543402605086,0.21989830414239167,0.007182870116340806,0.95,1000,20262004,290506,290506
