dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,0,AUC,0.751416,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,0,TPR@1%FPR,0.021333333333333336,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,0,membership_advantage@1%FPR,0.011333333333333336,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,0,TPR@0.1%FPR,0.009333333333333334,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,0,membership_advantage@0.1%FPR,0.008333333333333335,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,1,AUC,0.769504,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,1,TPR@1%FPR,0.0844,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,1,membership_advantage@1%FPR,0.07440000000000001,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,1,TPR@0.1%FPR,0.026000000000000002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,1,membership_advantage@0.1%FPR,0.025,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,2,AUC,0.742744,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,2,TPR@1%FPR,0.057499999999999996,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,2,membership_advantage@1%FPR,0.047499999999999994,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,2,TPR@0.1%FPR,0.006,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,2,membership_advantage@0.1%FPR,0.005,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,3,AUC,0.779488,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,3,TPR@1%FPR,0.062,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,3,membership_advantage@1%FPR,0.052,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,3,TPR@0.1%FPR,0.005,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,3,membership_advantage@0.1%FPR,0.004,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,4,AUC,0.8030799999999999,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,4,TPR@1%FPR,0.13666666666666666,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,4,membership_advantage@1%FPR,0.12666666666666665,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,4,TPR@0.1%FPR,0.0685,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,4,membership_advantage@0.1%FPR,0.0675,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,5,AUC,0.7895920000000001,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,5,TPR@1%FPR,0.085,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,5,membership_advantage@1%FPR,0.07500000000000001,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,5,TPR@0.1%FPR,0.037,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,5,membership_advantage@0.1%FPR,0.036,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,6,AUC,0.702536,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,6,TPR@1%FPR,0.0165,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,6,membership_advantage@1%FPR,0.006500000000000001,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,6,TPR@0.1%FPR,0.003,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,6,membership_advantage@0.1%FPR,0.002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,7,AUC,0.7311599999999999,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,7,TPR@1%FPR,0.024,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,7,membership_advantage@1%FPR,0.014,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,7,TPR@0.1%FPR,0.003,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,7,membership_advantage@0.1%FPR,0.002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,8,AUC,0.796896,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,8,TPR@1%FPR,0.031,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,8,membership_advantage@1%FPR,0.020999999999999998,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,8,TPR@0.1%FPR,0.0095,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,8,membership_advantage@0.1%FPR,0.0085,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,9,AUC,0.7358,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,9,TPR@1%FPR,0.068,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,9,membership_advantage@1%FPR,0.058,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,9,TPR@0.1%FPR,0.035,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,9,membership_advantage@0.1%FPR,0.034,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,10,AUC,0.734368,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,10,TPR@1%FPR,0.04,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,10,membership_advantage@1%FPR,0.03,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,10,TPR@0.1%FPR,0.007,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,10,membership_advantage@0.1%FPR,0.006,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,11,AUC,0.7508159999999999,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,11,TPR@1%FPR,0.05,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,11,membership_advantage@1%FPR,0.04,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,11,TPR@0.1%FPR,0.002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,11,membership_advantage@0.1%FPR,0.001,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,12,AUC,0.77732,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,12,TPR@1%FPR,0.08066666666666666,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,12,membership_advantage@1%FPR,0.07066666666666667,2.5
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,12,TPR@0.1%FPR,0.007,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,12,membership_advantage@0.1%FPR,0.006,0.25
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,13,AUC,0.713152,
credit_default,random_forest_neg_loss_label_corruption_0p000,neg_loss,250,13,TPR@1%FPR,0.0525,2.5
