dataset,model,attack_score,corruption_rate,repeat,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,random_forest,neg_loss,0.0,0,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,0,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,0,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,0,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,0,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,1,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,1,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,1,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,1,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,1,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,2,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,2,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,2,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,2,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,2,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,3,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,3,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,3,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,3,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,3,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,4,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,4,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,4,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,4,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,4,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,5,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,5,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,5,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,5,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,5,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,6,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,6,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,6,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,6,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,6,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,7,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,7,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,7,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,7,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,7,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,8,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,8,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,8,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,8,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,8,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,9,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,9,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,9,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,9,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,9,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,10,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,10,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,10,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,10,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,10,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,11,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,11,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
