dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,AUC,200,0.7528226000000001,0.020095598969168557,0.7152064000000001,0.751832,0.7963629999999999,0.0811565999999998,0.696288,0.8056,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,TPR@0.1%FPR,200,0.02904,0.03818650870708372,0.0,0.008,0.12810000000000002,0.12810000000000002,0.0,0.14,severe_tail_resolution_warning: expected false positives < 1
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,TPR@1%FPR,200,0.09432000000000001,0.04643228819404309,0.004,0.096,0.1801,0.1761,0.0,0.204,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,membership_advantage@0.1%FPR,200,0.028040000000000002,0.03818650870708372,-0.001,0.007,0.12710000000000002,0.12810000000000002,-0.001,0.139,severe_tail_resolution_warning: expected false positives < 1
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,membership_advantage@1%FPR,200,0.08431999999999999,0.04643228819404309,-0.006,0.08600000000000001,0.1701,0.1761,-0.01,0.19399999999999998,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,500,AUC,200,0.74978726,0.015113665289559122,0.7223774999999999,0.751339,0.77754375,0.05516625000000008,0.688178,0.791354,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,500,TPR@0.1%FPR,200,0.00927,0.016894800127754808,0.0,0.004,0.06405000000000001,0.06405000000000001,0.0,0.092,severe_tail_resolution_warning: expected false positives < 1
adult_income,random_forest_reference_centered,ref_centered_neg_loss,500,TPR@1%FPR,200,0.08597000000000002,0.034255602923584504,0.005950000000000001,0.088,0.154,0.14805,0.0,0.176,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,500,membership_advantage@0.1%FPR,200,0.00827,0.016894800127754808,-0.001,0.003,0.06305000000000001,0.06405000000000001,-0.001,0.091,severe_tail_resolution_warning: expected false positives < 1
adult_income,random_forest_reference_centered,ref_centered_neg_loss,500,membership_advantage@1%FPR,200,0.07597000000000001,0.034255602923584504,-0.004049999999999999,0.078,0.144,0.14805,-0.01,0.16599999999999998,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,1000,AUC,200,0.7504369700000001,0.009773132548248204,0.7329205249999999,0.75084175,0.7686130124999999,0.03569248749999998,0.7190955,0.7716135000000001,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,1000,TPR@0.1%FPR,200,0.0029600000000000004,0.0029447850165962622,0.0,0.002,0.008,0.008,0.0,0.026,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,1000,TPR@1%FPR,200,0.08458,0.021257540193431998,0.045975,0.083,0.12302500000000001,0.07705000000000001,0.023,0.145,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,1000,membership_advantage@0.1%FPR,200,0.00196,0.0029447850165962622,-0.001,0.001,0.007,0.008,-0.001,0.024999999999999998,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,1000,membership_advantage@1%FPR,200,0.07458000000000001,0.021257540193431998,0.03597500000000001,0.07300000000000001,0.11302500000000001,0.07705000000000001,0.013000000000000001,0.13499999999999998,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,2500,AUC,200,0.7519139292,0.006573277813349795,0.7391708720000001,0.7520354,0.7654515,0.02628062799999986,0.7339108,0.7714128,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,2500,TPR@0.1%FPR,200,0.003758,0.0015954193223320166,0.0008,0.0036,0.006810000000000002,0.0060100000000000015,0.0004,0.0088,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,2500,TPR@1%FPR,200,0.088888,0.012844906152648675,0.06318,0.0888,0.11562,0.05244,0.0592,0.126,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,2500,membership_advantage@0.1%FPR,200,0.002758,0.0015954193223320166,-0.00019999999999999998,0.0026,0.005810000000000002,0.0060100000000000015,-0.0006000000000000001,0.0078000000000000005,tail_resolution_warning: expected false positives < 5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,2500,membership_advantage@1%FPR,200,0.07888800000000001,0.012844906152648673,0.05318000000000001,0.07880000000000001,0.10562,0.052439999999999994,0.04920000000000001,0.116,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,5000,AUC,200,0.7508424592,0.0041335778942036,0.7428420355,0.75078551,0.758259343,0.015417307499999922,0.7417105199999999,0.76087598,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,5000,TPR@0.1%FPR,200,0.0036009999999999996,0.0011786198384628058,0.0014,0.0036,0.005810000000000002,0.004410000000000002,0.001,0.0074,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,5000,TPR@1%FPR,200,0.08868599999999999,0.008346816803654483,0.072795,0.0887,0.10342000000000001,0.030625000000000013,0.0662,0.1182,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,5000,membership_advantage@0.1%FPR,200,0.002601,0.0011786198384628058,0.00039999999999999996,0.0026,0.004810000000000002,0.004410000000000002,0.0,0.0064,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,5000,membership_advantage@1%FPR,200,0.07868599999999999,0.008346816803654483,0.062795,0.0787,0.09342000000000002,0.030625000000000013,0.05619999999999999,0.1082,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,10000,AUC,200,0.7506088084250001,0.0028996753172774396,0.74542040875,0.7505325200000001,0.7564584265000002,0.011038017750000129,0.744341635,0.75806963,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,10000,TPR@0.1%FPR,200,0.00358,0.0007288732958526023,0.0022975,0.0036,0.005102500000000001,0.002805000000000001,0.0018,0.0055,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,10000,TPR@1%FPR,200,0.088209,0.0051002137111593165,0.0784875,0.0884,0.09751,0.019022499999999998,0.0743,0.1005,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,10000,membership_advantage@0.1%FPR,200,0.0025800000000000003,0.0007288732958526023,0.0012975,0.0026,0.004102500000000001,0.002805000000000001,0.0007999999999999999,0.0045,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,10000,membership_advantage@1%FPR,200,0.078209,0.0051002137111593165,0.0684875,0.07840000000000001,0.08751,0.019022499999999998,0.06430000000000001,0.09050000000000001,
adult_income,random_forest_reference_centered,ref_logit_margin,250,AUC,200,0.7400306799999998,0.02251653569615855,0.6965274,0.7386360000000001,0.7809490000000001,0.0844216000000001,0.676984,0.7944319999999999,
