dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.4966907555555555,0.4894958276666666,0.5038635769444444,0.0143677492777777,0.95,1000,20260603,15000,15000
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0088,0.0070666666666666,0.011335,0.0042683333333333,0.95,1000,20260604,15000,15000
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0005333333333333,6.666666666666667e-05,0.0012666666666666,0.0012,0.95,1000,20260605,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5165283933333333,0.5095788479444444,0.5228640762777778,0.0132852283333333,0.95,1000,20260703,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0096,0.0072666666666666,0.0122016666666666,0.0049349999999999,0.95,1000,20260704,15000,15000
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011333333333333,0.0004991666666666,0.002,0.0015008333333333,0.95,1000,20260705,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,AUC,0.7584220711111112,0.7530117168888889,0.7638747643333333,0.0108630474444444,0.95,1000,20260803,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.0487317829457364,0.0419549222029237,0.0557460520320758,0.013791129829152,0.95,1000,20260804,15000,15000
credit_default,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0050697674418604,0.0036848737373737,0.0072193418560606,0.0035344681186868,0.95,1000,20260805,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,AUC,0.7584220711111112,0.7532126357222222,0.7639741213888889,0.0107614856666666,0.95,1000,20260903,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0487317829457364,0.0419734516141857,0.0556014122137404,0.0136279605995546,0.95,1000,20260904,15000,15000
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0050697674418604,0.0037357564016172,0.0074545454545454,0.0037187890529282,0.95,1000,20260905,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.9976632533333334,0.9970252998333332,0.9982537697777778,0.0012284699444444,0.95,1000,20261003,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.9988,0.9982666666666666,0.9993333333333332,0.0010666666666666,0.95,1000,20261004,15000,15000
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.3654146341463414,0.2774444444444444,0.5166551724137931,0.2392107279693486,0.95,1000,20261005,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,AUC,0.5032664155555555,0.4965729475555555,0.5098564044444445,0.0132834568888889,0.95,1000,20261103,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.0100666666666666,0.0079333333333333,0.0119333333333333,0.004,0.95,1000,20261104,15000,15000
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006,6.666666666666667e-05,0.0016016666666666,0.0015349999999999,0.95,1000,20261105,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5032664133333333,0.4968799511666666,0.5093066842777778,0.0124267331111111,0.95,1000,20261203,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0100666666666666,0.008,0.0120683333333333,0.0040683333333333,0.95,1000,20261204,15000,15000
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0016,0.0014666666666666,0.95,1000,20261205,15000,15000
covertype,logistic_regression,neg_entropy,best_auc_score,AUC,0.5007097630501208,0.4992817344250331,0.5022710560703609,0.0029893216453277,0.95,1000,20261303,290506,290506
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@1%FPR,0.0097829304730367,0.0093282927030767,0.0102786173091089,0.0009503246060322,0.95,1000,20261304,290506,290506
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0009672777842798,0.0008088473215699,0.0011360350560745,0.0003271877345046,0.95,1000,20261305,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,AUC,0.5003382028257147,0.4989185928885341,0.5018651761659818,0.0029465832774476,0.95,1000,20261403,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@1%FPR,0.009824237709376,0.0093732143225957,0.0103029713672006,0.0009297570446049,0.95,1000,20261404,290506,290506
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.000956950975195,0.0007986065692274,0.0011221799205524,0.0003235733513249,0.95,1000,20261405,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5068155603841811,0.5052463866423527,0.508282258306047,0.0030358716636943,0.95,1000,20261503,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0103061554666685,0.0098103825738538,0.0107949577633508,0.0009845751894969,0.95,1000,20261504,290506,290506
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0009968701095461,0.0008906804044354,0.0011173925399175,0.000226712135482,0.95,1000,20261505,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5067811146286483,0.505291136955615,0.5081887913343498,0.0028976543787347,0.95,1000,20261603,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0103924187452238,0.0098413681645129,0.0109567444390133,0.0011153762745003,0.95,1000,20261604,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0009945652173913,0.0008865806406974,0.0011235473888954,0.000236966748198,0.95,1000,20261605,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,AUC,0.699628052558467,0.698296426482249,0.7009670485480722,0.0026706220658232,0.95,1000,20261703,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@1%FPR,0.0314774615129028,0.0307943128840272,0.0322357461292492,0.001441433245222,0.95,1000,20261704,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0031477461512902,0.0030760833137677,0.0032267254367089,0.0001506421229411,0.95,1000,20261705,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,AUC,0.6995279023293506,0.6982580537545786,0.7009866142007208,0.0027285604461422,0.95,1000,20261803,290506,290506
