dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.4966907555555555,0.4894958276666666,0.5038635769444444,0.0143677492777777,0.95,1000,20260603,15000,15000,0.4966907555555555,0.4912316683888889,0.5026250719444445,0.0113934035555556,50,1.2610585772476883
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0088,0.0070666666666666,0.011335,0.0042683333333333,0.95,1000,20260604,15000,15000,0.0088,0.007045,0.0110433333333333,0.0039983333333333,50,1.0675281367236356
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0005333333333333,6.666666666666667e-05,0.0012666666666666,0.0012,0.95,1000,20260605,15000,15000,0.0005333333333333,6.666666666666667e-05,0.001385,0.0013183333333333,50,0.9102402022756234
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5165283933333333,0.5095788479444444,0.5228640762777778,0.0132852283333333,0.95,1000,20260703,15000,15000,0.5165283933333333,0.5118453587777778,0.5223927221666667,0.0105473633888888,50,1.2595781375399209
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0096,0.0072666666666666,0.0122016666666666,0.0049349999999999,0.95,1000,20260704,15000,15000,0.0096,0.0077116666666666,0.011955,0.0042433333333333,50,1.16300078554594
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011333333333333,0.0004991666666666,0.002,0.0015008333333333,0.95,1000,20260705,15000,15000,0.0011333333333333,0.0006816666666666,0.0016,0.0009183333333333,50,1.634301270417446
credit_default,random_forest,modified_entropy,best_auc_score,AUC,0.7584220711111112,0.7530117168888889,0.7638747643333333,0.0108630474444444,0.95,1000,20260803,15000,15000,0.7584220711111112,0.753176253,0.7638750938333333,0.0106988408333332,50,1.0153480749615045
credit_default,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.0487317829457364,0.0419549222029237,0.0557460520320758,0.013791129829152,0.95,1000,20260804,15000,15000,0.0487317829457364,0.0417398484848484,0.0546832954006638,0.0129434469158153,50,1.0654912805568768
credit_default,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0050697674418604,0.0036848737373737,0.0072193418560606,0.0035344681186868,0.95,1000,20260805,15000,15000,0.0050697674418604,0.00364925,0.0068568014705882,0.0032075514705882,50,1.1019209359838116
credit_default,random_forest,neg_loss,canonical_neg_loss,AUC,0.7584220711111112,0.7532126357222222,0.7639741213888889,0.0107614856666666,0.95,1000,20260903,15000,15000,0.7584220711111112,0.753176253,0.7638750938333333,0.0106988408333332,50,1.00585529164414
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0487317829457364,0.0419734516141857,0.0556014122137404,0.0136279605995546,0.95,1000,20260904,15000,15000,0.0487317829457364,0.0417398484848484,0.0546832954006638,0.0129434469158153,50,1.0528849608756774
