dataset,model,attack_score,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,n_members,n_nonmembers
credit_default,random_forest,neg_loss,AUC,0.7699400000000001,0.7519711,0.7923988,0.040427699999999955,0.95,25,1000,1000
credit_default,random_forest,neg_loss,TPR@1%FPR,0.068,0.05348571428571428,0.11915384615384614,0.06566813186813186,0.95,25,1000,1000
credit_default,random_forest,neg_loss,membership_advantage@1%FPR,0.058,0.03554285714285715,0.10222857142857142,0.06668571428571426,0.95,25,1000,1000
credit_default,random_forest,neg_loss,TPR@0.1%FPR,0.003,0.0012400000000000004,0.022999999999999986,0.021759999999999984,0.95,25,1000,1000
credit_default,random_forest,neg_loss,membership_advantage@0.1%FPR,0.002,-0.00019999999999999974,0.012599999999999997,0.012799999999999997,0.95,25,1000,1000
credit_default,random_forest,confidence,AUC,0.742521,0.7291094,0.7656252,0.03651579999999999,0.95,25,1000,1000
credit_default,random_forest,confidence,TPR@1%FPR,0.068,0.036266666666666676,0.11216,0.07589333333333331,0.95,25,1000,1000
credit_default,random_forest,confidence,membership_advantage@1%FPR,0.058,0.021866666666666666,0.10032063492063484,0.07845396825396816,0.95,25,1000,1000
credit_default,random_forest,confidence,TPR@0.1%FPR,0.003,0.0006500000000000002,0.029099999999999977,0.028449999999999975,0.95,25,1000,1000
credit_default,random_forest,confidence,membership_advantage@0.1%FPR,0.002,0.00020000000000000015,0.03799999999999993,0.03779999999999993,0.95,25,1000,1000
credit_default,random_forest,neg_entropy,AUC,0.742521,0.7207559,0.7628543,0.04209839999999998,0.95,25,1000,1000
credit_default,random_forest,neg_entropy,TPR@1%FPR,0.068,0.042771428571428585,0.10769999999999998,0.06492857142857139,0.95,25,1000,1000
credit_default,random_forest,neg_entropy,membership_advantage@1%FPR,0.058,0.0317,0.10336000000000001,0.07166,0.95,25,1000,1000
credit_default,random_forest,neg_entropy,TPR@0.1%FPR,0.003,0.0009000000000000002,0.015499999999999993,0.014599999999999993,0.95,25,1000,1000
credit_default,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.002,-0.00017142857142857124,0.025799999999999997,0.02597142857142857,0.95,25,1000,1000
credit_default,random_forest,modified_entropy,AUC,0.7699400000000001,0.7503264000000001,0.788357,0.038030599999999914,0.95,25,1000,1000
credit_default,random_forest,modified_entropy,TPR@1%FPR,0.068,0.04733333333333333,0.10568,0.058346666666666665,0.95,25,1000,1000
credit_default,random_forest,modified_entropy,membership_advantage@1%FPR,0.058,0.028414285714285722,0.0879,0.05948571428571428,0.95,25,1000,1000
credit_default,random_forest,modified_entropy,TPR@0.1%FPR,0.003,0.0006000000000000005,0.015399999999999973,0.014799999999999973,0.95,25,1000,1000
credit_default,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.002,-0.0002833333333333333,0.027799999999999967,0.0280833333333333,0.95,25,1000,1000
