dataset,model,attack_score,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,random_forest,neg_loss,AUC,0.7699400000000001,,,,1000,1000
credit_default,random_forest,neg_loss,TPR@1%FPR,0.068,-0.0100503358989954,0.01,1.0,1000,1000
credit_default,random_forest,neg_loss,membership_advantage@1%FPR,0.058,-0.0100503358989954,0.01,1.0,1000,1000
credit_default,random_forest,neg_loss,TPR@0.1%FPR,0.003,0.0,0.001,0.5,1000,1000
credit_default,random_forest,neg_loss,membership_advantage@0.1%FPR,0.002,0.0,0.001,0.5,1000,1000
credit_default,random_forest,confidence,AUC,0.742521,,,,1000,1000
credit_default,random_forest,confidence,TPR@1%FPR,0.068,0.9900000095367432,0.01,1.0,1000,1000
credit_default,random_forest,confidence,membership_advantage@1%FPR,0.058,0.9900000095367432,0.01,1.0,1000,1000
credit_default,random_forest,confidence,TPR@0.1%FPR,0.003,1.0,0.001,0.5,1000,1000
credit_default,random_forest,confidence,membership_advantage@0.1%FPR,0.002,1.0,0.001,0.5,1000,1000
credit_default,random_forest,neg_entropy,AUC,0.742521,,,,1000,1000
credit_default,random_forest,neg_entropy,TPR@1%FPR,0.068,-0.0560015328228473,0.01,1.0,1000,1000
credit_default,random_forest,neg_entropy,membership_advantage@1%FPR,0.058,-0.0560015328228473,0.01,1.0,1000,1000
credit_default,random_forest,neg_entropy,TPR@0.1%FPR,0.003,-2.7631020735330303e-11,0.001,0.5,1000,1000
credit_default,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.002,-2.7631020735330303e-11,0.001,0.5,1000,1000
credit_default,random_forest,modified_entropy,AUC,0.7699400000000001,,,,1000,1000
credit_default,random_forest,modified_entropy,TPR@1%FPR,0.068,-0.0002010067109949,0.01,1.0,1000,1000
credit_default,random_forest,modified_entropy,membership_advantage@1%FPR,0.058,-0.0002010067109949,0.01,1.0,1000,1000
credit_default,random_forest,modified_entropy,TPR@0.1%FPR,0.003,-1.9999335775516983e-24,0.001,0.5,1000,1000
credit_default,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.002,-1.9999335775516983e-24,0.001,0.5,1000,1000
