dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
credit_default,random_forest,neg_loss,250,0,AUC,0.7547280000000001,
credit_default,random_forest,neg_loss,250,0,TPR@1%FPR,0.058,2.5
credit_default,random_forest,neg_loss,250,0,membership_advantage@1%FPR,0.048,2.5
credit_default,random_forest,neg_loss,250,0,TPR@0.1%FPR,0.018000000000000002,0.25
credit_default,random_forest,neg_loss,250,0,membership_advantage@0.1%FPR,0.017,0.25
credit_default,random_forest,confidence,250,0,AUC,0.728504,
credit_default,random_forest,confidence,250,0,TPR@1%FPR,0.058,2.5
credit_default,random_forest,confidence,250,0,membership_advantage@1%FPR,0.048,2.5
credit_default,random_forest,confidence,250,0,TPR@0.1%FPR,0.018000000000000002,0.25
credit_default,random_forest,confidence,250,0,membership_advantage@0.1%FPR,0.017,0.25
credit_default,random_forest,neg_entropy,250,0,AUC,0.728504,
credit_default,random_forest,neg_entropy,250,0,TPR@1%FPR,0.058,2.5
credit_default,random_forest,neg_entropy,250,0,membership_advantage@1%FPR,0.048,2.5
credit_default,random_forest,neg_entropy,250,0,TPR@0.1%FPR,0.018000000000000002,0.25
credit_default,random_forest,neg_entropy,250,0,membership_advantage@0.1%FPR,0.017,0.25
credit_default,random_forest,modified_entropy,250,0,AUC,0.7547280000000001,
credit_default,random_forest,modified_entropy,250,0,TPR@1%FPR,0.058,2.5
credit_default,random_forest,modified_entropy,250,0,membership_advantage@1%FPR,0.048,2.5
credit_default,random_forest,modified_entropy,250,0,TPR@0.1%FPR,0.018000000000000002,0.25
credit_default,random_forest,modified_entropy,250,0,membership_advantage@0.1%FPR,0.017,0.25
credit_default,random_forest,neg_loss,250,1,AUC,0.749768,
credit_default,random_forest,neg_loss,250,1,TPR@1%FPR,0.058666666666666666,2.5
credit_default,random_forest,neg_loss,250,1,membership_advantage@1%FPR,0.048666666666666664,2.5
credit_default,random_forest,neg_loss,250,1,TPR@0.1%FPR,0.001,0.25
credit_default,random_forest,neg_loss,250,1,membership_advantage@0.1%FPR,0.0,0.25
credit_default,random_forest,confidence,250,1,AUC,0.72268,
credit_default,random_forest,confidence,250,1,TPR@1%FPR,0.058666666666666666,2.5
credit_default,random_forest,confidence,250,1,membership_advantage@1%FPR,0.048666666666666664,2.5
credit_default,random_forest,confidence,250,1,TPR@0.1%FPR,0.001,0.25
credit_default,random_forest,confidence,250,1,membership_advantage@0.1%FPR,0.0,0.25
credit_default,random_forest,neg_entropy,250,1,AUC,0.72268,
credit_default,random_forest,neg_entropy,250,1,TPR@1%FPR,0.058666666666666666,2.5
credit_default,random_forest,neg_entropy,250,1,membership_advantage@1%FPR,0.048666666666666664,2.5
credit_default,random_forest,neg_entropy,250,1,TPR@0.1%FPR,0.001,0.25
credit_default,random_forest,neg_entropy,250,1,membership_advantage@0.1%FPR,0.0,0.25
credit_default,random_forest,modified_entropy,250,1,AUC,0.749768,
credit_default,random_forest,modified_entropy,250,1,TPR@1%FPR,0.058666666666666666,2.5
credit_default,random_forest,modified_entropy,250,1,membership_advantage@1%FPR,0.048666666666666664,2.5
credit_default,random_forest,modified_entropy,250,1,TPR@0.1%FPR,0.001,0.25
credit_default,random_forest,modified_entropy,250,1,membership_advantage@0.1%FPR,0.0,0.25
credit_default,random_forest,neg_loss,250,2,AUC,0.767328,
credit_default,random_forest,neg_loss,250,2,TPR@1%FPR,0.049,2.5
credit_default,random_forest,neg_loss,250,2,membership_advantage@1%FPR,0.039,2.5
credit_default,random_forest,neg_loss,250,2,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,neg_loss,250,2,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,confidence,250,2,AUC,0.744736,
credit_default,random_forest,confidence,250,2,TPR@1%FPR,0.049,2.5
credit_default,random_forest,confidence,250,2,membership_advantage@1%FPR,0.039,2.5
credit_default,random_forest,confidence,250,2,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,confidence,250,2,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,neg_entropy,250,2,AUC,0.744736,
credit_default,random_forest,neg_entropy,250,2,TPR@1%FPR,0.049,2.5
credit_default,random_forest,neg_entropy,250,2,membership_advantage@1%FPR,0.039,2.5
credit_default,random_forest,neg_entropy,250,2,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,neg_entropy,250,2,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,modified_entropy,250,2,AUC,0.767328,
credit_default,random_forest,modified_entropy,250,2,TPR@1%FPR,0.049,2.5
credit_default,random_forest,modified_entropy,250,2,membership_advantage@1%FPR,0.039,2.5
credit_default,random_forest,modified_entropy,250,2,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,modified_entropy,250,2,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,neg_loss,250,3,AUC,0.74968,
credit_default,random_forest,neg_loss,250,3,TPR@1%FPR,0.052000000000000005,2.5
credit_default,random_forest,neg_loss,250,3,membership_advantage@1%FPR,0.042,2.5
credit_default,random_forest,neg_loss,250,3,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,neg_loss,250,3,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,confidence,250,3,AUC,0.7278399999999999,
credit_default,random_forest,confidence,250,3,TPR@1%FPR,0.052000000000000005,2.5
credit_default,random_forest,confidence,250,3,membership_advantage@1%FPR,0.042,2.5
credit_default,random_forest,confidence,250,3,TPR@0.1%FPR,0.0085,0.25
credit_default,random_forest,confidence,250,3,membership_advantage@0.1%FPR,0.007500000000000001,0.25
credit_default,random_forest,neg_entropy,250,3,AUC,0.7278399999999999,
