dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
credit_default,random_forest,confidence,250,AUC,10,0.7339727999999999,0.00944174989430807,0.72268,0.731708,0.7493797999999999,0.02669979999999994,0.72268,0.750728,
credit_default,random_forest,confidence,250,TPR@0.1%FPR,10,0.01955,0.02223916715067261,0.001225,0.012750000000000001,0.06652500000000001,0.06530000000000001,0.001,0.07350000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,confidence,250,TPR@1%FPR,10,0.06833333333333333,0.02343891456636554,0.042025,0.06133333333333334,0.11246666666666667,0.07044166666666668,0.04,0.11666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,confidence,250,membership_advantage@0.1%FPR,10,0.01855,0.02223916715067261,0.00022500000000000002,0.01175,0.06552500000000001,0.06530000000000001,0.0,0.07250000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,confidence,250,membership_advantage@1%FPR,10,0.05833333333333333,0.02343891456636554,0.032025,0.05133333333333333,0.10246666666666668,0.07044166666666668,0.03,0.10666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,confidence,500,AUC,10,0.7354962,0.015644007342536466,0.71394345,0.7368299999999999,0.7588763000000001,0.044932850000000024,0.713898,0.7610300000000001,
credit_default,random_forest,confidence,500,TPR@0.1%FPR,10,0.011116666666666667,0.014252582611972861,0.001,0.007,0.04102500000000001,0.04002500000000001,0.001,0.048,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,confidence,500,TPR@1%FPR,10,0.07239999999999999,0.023716848207316434,0.04535,0.069,0.11325,0.0679,0.044,0.12,
credit_default,random_forest,confidence,500,membership_advantage@0.1%FPR,10,0.010116666666666666,0.014252582611972861,0.0,0.006,0.04002500000000001,0.04002500000000001,0.0,0.047,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,confidence,500,membership_advantage@1%FPR,10,0.0624,0.02371684820731644,0.03535,0.059,0.10325000000000001,0.06790000000000002,0.033999999999999996,0.11,
credit_default,random_forest,modified_entropy,250,AUC,10,0.7608248000000001,0.011282867058804977,0.7447448,0.7632840000000001,0.7780494,0.03330460000000002,0.743312,0.7806,
credit_default,random_forest,modified_entropy,250,TPR@0.1%FPR,10,0.01955,0.02223916715067261,0.001225,0.012750000000000001,0.06652500000000001,0.06530000000000001,0.001,0.07350000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,modified_entropy,250,TPR@1%FPR,10,0.06833333333333333,0.02343891456636554,0.042025,0.06133333333333334,0.11246666666666667,0.07044166666666668,0.04,0.11666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,modified_entropy,250,membership_advantage@0.1%FPR,10,0.01855,0.02223916715067261,0.00022500000000000002,0.01175,0.06552500000000001,0.06530000000000001,0.0,0.07250000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,modified_entropy,250,membership_advantage@1%FPR,10,0.05833333333333333,0.02343891456636554,0.032025,0.05133333333333333,0.10246666666666668,0.07044166666666668,0.03,0.10666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,modified_entropy,500,AUC,10,0.7625135999999999,0.015542160433264514,0.7381092499999999,0.765019,0.78570555,0.047596300000000036,0.735938,0.7891079999999999,
credit_default,random_forest,modified_entropy,500,TPR@0.1%FPR,10,0.011116666666666667,0.014252582611972861,0.001,0.007,0.04102500000000001,0.04002500000000001,0.001,0.048,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,modified_entropy,500,TPR@1%FPR,10,0.07239999999999999,0.023716848207316434,0.04535,0.069,0.11325,0.0679,0.044,0.12,
credit_default,random_forest,modified_entropy,500,membership_advantage@0.1%FPR,10,0.010116666666666666,0.014252582611972861,0.0,0.006,0.04002500000000001,0.04002500000000001,0.0,0.047,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,modified_entropy,500,membership_advantage@1%FPR,10,0.0624,0.02371684820731644,0.03535,0.059,0.10325000000000001,0.06790000000000002,0.033999999999999996,0.11,
credit_default,random_forest,neg_entropy,250,AUC,10,0.7339727999999999,0.00944174989430807,0.72268,0.731708,0.7493797999999999,0.02669979999999994,0.72268,0.750728,
credit_default,random_forest,neg_entropy,250,TPR@0.1%FPR,10,0.01955,0.02223916715067261,0.001225,0.012750000000000001,0.06652500000000001,0.06530000000000001,0.001,0.07350000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,neg_entropy,250,TPR@1%FPR,10,0.06833333333333333,0.02343891456636554,0.042025,0.06133333333333334,0.11246666666666667,0.07044166666666668,0.04,0.11666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,neg_entropy,250,membership_advantage@0.1%FPR,10,0.01855,0.02223916715067261,0.00022500000000000002,0.01175,0.06552500000000001,0.06530000000000001,0.0,0.07250000000000001,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,neg_entropy,250,membership_advantage@1%FPR,10,0.05833333333333333,0.02343891456636554,0.032025,0.05133333333333333,0.10246666666666668,0.07044166666666668,0.03,0.10666666666666667,tail_resolution_warning: expected false positives < 5
credit_default,random_forest,neg_entropy,500,AUC,10,0.7354962,0.015644007342536466,0.71394345,0.7368299999999999,0.7588763000000001,0.044932850000000024,0.713898,0.7610300000000001,
credit_default,random_forest,neg_entropy,500,TPR@0.1%FPR,10,0.011116666666666667,0.014252582611972861,0.001,0.007,0.04102500000000001,0.04002500000000001,0.001,0.048,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,neg_entropy,500,TPR@1%FPR,10,0.07239999999999999,0.023716848207316434,0.04535,0.069,0.11325,0.0679,0.044,0.12,
credit_default,random_forest,neg_entropy,500,membership_advantage@0.1%FPR,10,0.010116666666666666,0.014252582611972861,0.0,0.006,0.04002500000000001,0.04002500000000001,0.0,0.047,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest,neg_entropy,500,membership_advantage@1%FPR,10,0.0624,0.02371684820731644,0.03535,0.059,0.10325000000000001,0.06790000000000002,0.033999999999999996,0.11,
