dataset,model,attack_score,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,AUC,0.49669075555555553,0.4912316683888889,0.5026250719444445,0.011393403555555626,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,TPR@1%FPR,0.0088,0.007045,0.011043333333333332,0.003998333333333332,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0011999999999999997,-0.0024516666666666667,0.0015549999999999993,0.004006666666666666,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,TPR@0.1%FPR,0.0005333333333333334,6.666666666666667e-05,0.001385,0.0013183333333333332,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-0.00046666666666666666,-0.0009183333333333333,0.0001333333333333334,0.0010516666666666667,0.95,50,15000,15000
credit_default,logistic_regression,confidence,AUC,0.4949632444444444,0.4905450795,0.5023773231111112,0.011832243611111182,0.95,50,15000,15000
credit_default,logistic_regression,confidence,TPR@1%FPR,0.009533333333333333,0.007814999999999999,0.011288333333333334,0.003473333333333335,0.95,50,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@1%FPR,-0.0004666666666666673,-0.0023099999999999996,0.0018366666666666657,0.004146666666666665,0.95,50,15000,15000
credit_default,logistic_regression,confidence,TPR@0.1%FPR,0.0006,8.166666666666674e-05,0.001385,0.0013033333333333332,0.95,50,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@0.1%FPR,-0.0004000000000000001,-0.0008666666666666666,0.00019999999999999987,0.0010666666666666665,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,AUC,0.49496325333333335,0.4905450721666667,0.5023773036666667,0.011832231499999957,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@1%FPR,0.009533333333333333,0.007814999999999999,0.011288333333333334,0.003473333333333335,0.95,50,15000,15000
