dataset,model,attack_score,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,AUC,0.49669075555555553,,,,15000,15000
credit_default,logistic_regression,neg_loss,TPR@1%FPR,0.0088,-0.02533888816833496,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0011999999999999997,-0.02533888816833496,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,neg_loss,TPR@0.1%FPR,0.0005333333333333334,-0.002810441656038165,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-0.00046666666666666666,-0.002810441656038165,0.001,1.0,15000,15000
credit_default,logistic_regression,confidence,AUC,0.4949632444444444,,,,15000,15000
credit_default,logistic_regression,confidence,TPR@1%FPR,0.009533333333333333,0.9757964611053467,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@1%FPR,-0.0004666666666666673,0.9757964611053467,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,confidence,TPR@0.1%FPR,0.0006,0.9971935153007507,0.001,1.0,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@0.1%FPR,-0.0004000000000000001,0.9971935153007507,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_entropy,AUC,0.49496325333333335,,,,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@1%FPR,0.009533333333333333,-0.11397578567266464,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@1%FPR,-0.0004666666666666673,-0.11397578567266464,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@0.1%FPR,0.0006,-0.01929301582276821,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@0.1%FPR,-0.0004000000000000001,-0.01929301582276821,0.001,1.0,15000,15000
credit_default,logistic_regression,modified_entropy,AUC,0.4966907511111111,,,,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@1%FPR,0.0088,-0.0012679860228672624,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@1%FPR,-0.0011999999999999997,-0.0012679860228672624,0.01,0.9999999999999939,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@0.1%FPR,0.0005333333333333334,-1.5774987332406454e-05,0.001,1.0,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@0.1%FPR,-0.00046666666666666666,-1.5774987332406454e-05,0.001,1.0,15000,15000
credit_default,random_forest,neg_loss,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,confidence,AUC,0.729629308888889,,,,15000,15000
credit_default,random_forest,confidence,TPR@1%FPR,0.047448888888888895,0.9900000095367432,0.01,0.12592592592592594,15000,15000
credit_default,random_forest,confidence,membership_advantage@1%FPR,0.03744888888888889,0.9900000095367432,0.01,0.12592592592592594,15000,15000
credit_default,random_forest,confidence,TPR@0.1%FPR,0.004954545454545455,1.0,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,confidence,membership_advantage@0.1%FPR,0.003954545454545455,1.0,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,neg_entropy,AUC,0.729629308888889,,,,15000,15000
credit_default,random_forest,neg_entropy,TPR@1%FPR,0.047448888888888895,-0.056001532822847366,0.01,0.12592592592592594,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@1%FPR,0.03744888888888889,-0.056001532822847366,0.01,0.12592592592592594,15000,15000
credit_default,random_forest,neg_entropy,TPR@0.1%FPR,0.004954545454545455,-2.7631020735330303e-11,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.003954545454545455,-2.7631020735330303e-11,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,modified_entropy,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,modified_entropy,TPR@1%FPR,0.048731782945736435,-0.00020100671099498868,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@1%FPR,0.03873178294573643,-0.00020100671099498868,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,modified_entropy,TPR@0.1%FPR,0.005069767441860465,-1.999933577551698e-24,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.004069767441860465,-1.999933577551698e-24,0.001,0.3488372093023256,15000,15000
credit_default,hist_gradient_boosting,neg_loss,AUC,0.5165283933333333,,,,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@1%FPR,0.0096,-0.039485011249780655,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@1%FPR,-0.00040000000000000105,-0.039485011249780655,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@0.1%FPR,0.0011333333333333334,-0.03180880844593048,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@0.1%FPR,0.0001333333333333334,-0.03180880844593048,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,confidence,AUC,0.5023527844444444,,,,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@1%FPR,0.009333333333333334,0.9613551497459412,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@1%FPR,-0.0006666666666666661,0.9613551497459412,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@0.1%FPR,0.0011333333333333334,0.9686917662620544,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@0.1%FPR,0.0001333333333333334,0.9686917662620544,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,AUC,0.5023527688888889,,,,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@1%FPR,0.009333333333333334,-0.1636132448911667,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@1%FPR,-0.0006666666666666661,-0.1636132448911667,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@0.1%FPR,0.0011333333333333334,-0.13926070928573608,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@0.1%FPR,0.0001333333333333334,-0.13926070928573608,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,AUC,0.5165283911111112,,,,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@1%FPR,0.0096,-0.0030573748517781496,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@1%FPR,-0.00040000000000000105,-0.0030573748517781496,0.01,0.9999999999999939,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@0.1%FPR,0.0011333333333333334,-0.0019917550962418318,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@0.1%FPR,0.0001333333333333334,-0.0019917550962418318,0.001,1.0,15000,15000
credit_default,extra_trees,neg_loss,AUC,0.9976632533333334,,,,15000,15000
credit_default,extra_trees,neg_loss,TPR@1%FPR,0.9988,-0.0100503358989954,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@1%FPR,0.9888,-0.0100503358989954,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,neg_loss,TPR@0.1%FPR,0.36541463414634145,0.0,0.001,0.36585365853658536,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@0.1%FPR,0.36441463414634145,0.0,0.001,0.36585365853658536,15000,15000
credit_default,extra_trees,confidence,AUC,0.9970697466666668,,,,15000,15000
credit_default,extra_trees,confidence,TPR@1%FPR,0.9988,0.9900000095367432,0.01,0.53,15000,15000
credit_default,extra_trees,confidence,membership_advantage@1%FPR,0.9888,0.9900000095367432,0.01,0.53,15000,15000
credit_default,extra_trees,confidence,TPR@0.1%FPR,0.28811538461538466,1.0,0.001,0.2884615384615385,15000,15000
credit_default,extra_trees,confidence,membership_advantage@0.1%FPR,0.28711538461538466,1.0,0.001,0.2884615384615385,15000,15000
credit_default,extra_trees,neg_entropy,AUC,0.9970697466666668,,,,15000,15000
credit_default,extra_trees,neg_entropy,TPR@1%FPR,0.9988,-0.056001532822847366,0.01,0.53,15000,15000
credit_default,extra_trees,neg_entropy,membership_advantage@1%FPR,0.9888,-0.056001532822847366,0.01,0.53,15000,15000
credit_default,extra_trees,neg_entropy,TPR@0.1%FPR,0.28811538461538466,-2.7631020735330303e-11,0.001,0.2884615384615385,15000,15000
credit_default,extra_trees,neg_entropy,membership_advantage@0.1%FPR,0.28711538461538466,-2.7631020735330303e-11,0.001,0.2884615384615385,15000,15000
credit_default,extra_trees,modified_entropy,AUC,0.9976632533333334,,,,15000,15000
credit_default,extra_trees,modified_entropy,TPR@1%FPR,0.9988,-0.00020100671099498868,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,modified_entropy,membership_advantage@1%FPR,0.9888,-0.00020100671099498868,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,modified_entropy,TPR@0.1%FPR,0.36541463414634145,-1.999933577551698e-24,0.001,0.36585365853658536,15000,15000
credit_default,extra_trees,modified_entropy,membership_advantage@0.1%FPR,0.36441463414634145,-1.999933577551698e-24,0.001,0.36585365853658536,15000,15000
credit_default,small_mlp,neg_loss,AUC,0.5032664133333333,,,,15000,15000
credit_default,small_mlp,neg_loss,TPR@1%FPR,0.010066666666666666,-0.01722925342619419,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,neg_loss,membership_advantage@1%FPR,6.666666666666626e-05,-0.01722925342619419,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,neg_loss,TPR@0.1%FPR,0.0006,-0.0021253745071589947,0.001,1.0,15000,15000
credit_default,small_mlp,neg_loss,membership_advantage@0.1%FPR,-0.0004000000000000001,-0.0021253745071589947,0.001,1.0,15000,15000
credit_default,small_mlp,confidence,AUC,0.49900970222222224,,,,15000,15000
credit_default,small_mlp,confidence,TPR@1%FPR,0.009866666666666666,0.9834796190261841,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,confidence,membership_advantage@1%FPR,-0.00013333333333333426,0.9834796190261841,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,confidence,TPR@0.1%FPR,0.0006,0.9978768825531006,0.001,1.0,15000,15000
credit_default,small_mlp,confidence,membership_advantage@0.1%FPR,-0.0004000000000000001,0.9978768825531006,0.001,1.0,15000,15000
credit_default,small_mlp,neg_entropy,AUC,0.4990097177777778,,,,15000,15000
credit_default,small_mlp,neg_entropy,TPR@1%FPR,0.009866666666666666,-0.08416898548603058,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,neg_entropy,membership_advantage@1%FPR,-0.00013333333333333426,-0.08416898548603058,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,neg_entropy,TPR@0.1%FPR,0.0006,-0.015188265591859818,0.001,1.0,15000,15000
credit_default,small_mlp,neg_entropy,membership_advantage@0.1%FPR,-0.0004000000000000001,-0.015188265591859818,0.001,1.0,15000,15000
credit_default,small_mlp,modified_entropy,AUC,0.5032664155555555,,,,15000,15000
credit_default,small_mlp,modified_entropy,TPR@1%FPR,0.010066666666666666,-0.0005886095459572971,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,modified_entropy,membership_advantage@1%FPR,6.666666666666626e-05,-0.0005886095459572971,0.01,0.9999999999999939,15000,15000
credit_default,small_mlp,modified_entropy,TPR@0.1%FPR,0.0006,-9.024750397657044e-06,0.001,1.0,15000,15000
credit_default,small_mlp,modified_entropy,membership_advantage@0.1%FPR,-0.0004000000000000001,-9.024750397657044e-06,0.001,1.0,15000,15000
covertype,logistic_regression,neg_loss,AUC,0.5003382028257146,,,,290506,290506
covertype,logistic_regression,neg_loss,TPR@1%FPR,0.009824237709376054,-0.030911583453416824,0.01,0.06000000000010437,290506,290506
covertype,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.00017576229062394623,-0.030911583453416824,0.01,0.06000000000010437,290506,290506
covertype,logistic_regression,neg_loss,TPR@0.1%FPR,0.0009569509751950045,-0.004552935715764761,0.001,0.5060000000000276,290506,290506
covertype,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-4.304902480499549e-05,-0.004552935715764761,0.001,0.5060000000000276,290506,290506
covertype,logistic_regression,confidence,AUC,0.5002088261206079,,,,290506,290506
covertype,logistic_regression,confidence,TPR@1%FPR,0.009838006788155839,0.9697668552398682,0.01,0.06000000000010437,290506,290506
covertype,logistic_regression,confidence,membership_advantage@1%FPR,-0.00016199321184416117,0.9697668552398682,0.01,0.06000000000010437,290506,290506
covertype,logistic_regression,confidence,TPR@0.1%FPR,0.0009569509751950045,0.9954574108123779,0.001,0.5060000000000276,290506,290506
