dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
adult_income,extra_trees,confidence,250,AUC,50,0.8660190399999999,0.013808665615474964,0.8444499999999999,0.866,0.88955,0.04510000000000003,0.8339999999999999,0.896,
adult_income,extra_trees,confidence,250,TPR@0.1%FPR,50,0.0037760240114453007,0.0004022810022161086,0.0032144938394938396,0.0037313432835820895,0.0045271915584415585,0.0013126977189477189,0.003012048192771084,0.004807692307692308,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,confidence,250,TPR@1%FPR,50,0.03776024011445302,0.004022810022161086,0.0321449383949384,0.03731343283582089,0.04527191558441558,0.013126977189477182,0.030120481927710843,0.04807692307692308,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,250,membership_advantage@0.1%FPR,50,0.002776024011445301,0.00040228100221610853,0.0022144938394938396,0.0027313432835820895,0.003527191558441558,0.0013126977189477185,0.002012048192771084,0.003807692307692308,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,confidence,250,membership_advantage@1%FPR,50,0.027760240114453015,0.004022810022161086,0.022144938394938397,0.02731343283582089,0.03527191558441558,0.013126977189477182,0.02012048192771084,0.03807692307692308,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,500,AUC,50,0.86648528,0.010758689145248215,0.84436525,0.868,0.8817749999999999,0.03740974999999991,0.833,0.8840000000000001,
adult_income,extra_trees,confidence,500,TPR@0.1%FPR,50,0.003772610050583455,0.00029619751619349864,0.0032351315789473684,0.003787878787878788,0.004252107779226423,0.0010169762002790544,0.002994011976047904,0.004310344827586207,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,confidence,500,TPR@1%FPR,50,0.037726100505834546,0.002961975161934987,0.032351315789473686,0.03787878787878788,0.04252107779226423,0.010169762002790544,0.029940119760479042,0.043103448275862065,
adult_income,extra_trees,confidence,500,membership_advantage@0.1%FPR,50,0.002772610050583455,0.00029619751619349864,0.0022351315789473684,0.002787878787878788,0.003252107779226423,0.0010169762002790548,0.001994011976047904,0.003310344827586207,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,confidence,500,membership_advantage@1%FPR,50,0.027726100505834544,0.0029619751619349866,0.02235131578947368,0.027878787878787878,0.03252107779226423,0.010169762002790548,0.01994011976047904,0.03310344827586206,
adult_income,extra_trees,confidence,1000,AUC,50,0.86861764,0.007266236246096167,0.8560625000000001,0.869,0.8801898375,0.024127337499999957,0.8524999999999999,0.881,
adult_income,extra_trees,confidence,1000,TPR@0.1%FPR,50,0.003818454412903911,0.00021106213588440763,0.0034739144207807404,0.003816793893129771,0.004179240324267783,0.0007053259034870423,0.0033898305084745766,0.004201680672268908,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,1000,TPR@1%FPR,50,0.03818454412903911,0.002110621358844077,0.0347391442078074,0.03816793893129771,0.04179240324267783,0.007053259034870425,0.03389830508474576,0.04201680672268908,
adult_income,extra_trees,confidence,1000,membership_advantage@0.1%FPR,50,0.0028184544129039113,0.00021106213588440763,0.0024739144207807403,0.002816793893129771,0.0031792403242677826,0.0007053259034870423,0.0023898305084745766,0.0032016806722689082,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,1000,membership_advantage@1%FPR,50,0.028184544129039105,0.002110621358844077,0.024739144207807397,0.02816793893129771,0.031792403242677826,0.007053259034870429,0.02389830508474576,0.03201680672268908,
adult_income,extra_trees,confidence,2000,AUC,50,0.8684697175000001,0.004635522484394032,0.85860341875,0.868940625,0.87712025625,0.018516837499999994,0.8565,0.8785,
adult_income,extra_trees,confidence,2000,TPR@0.1%FPR,50,0.0038082911200515513,0.00013257319108476228,0.0035382925070909566,0.003820442835666224,0.004071901669758813,0.0005336091626678562,0.0034843205574912896,0.00411522633744856,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,2000,TPR@1%FPR,50,0.03808291120051551,0.0013257319108476227,0.03538292507090957,0.03820442835666224,0.04071901669758813,0.005336091626678557,0.0348432055749129,0.0411522633744856,
adult_income,extra_trees,confidence,2000,membership_advantage@0.1%FPR,50,0.002808291120051551,0.00013257319108476228,0.0025382925070909566,0.002820442835666224,0.003071901669758813,0.0005336091626678562,0.0024843205574912896,0.00311522633744856,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,confidence,2000,membership_advantage@1%FPR,50,0.02808291120051551,0.0013257319108476227,0.02538292507090957,0.028204428356662238,0.030719016697588128,0.005336091626678557,0.024843205574912895,0.031152263374485595,
adult_income,extra_trees,confidence,5000,AUC,50,0.8680317516000001,0.002236035543202923,0.8640934665,0.8680500000000001,0.872395057,0.008301590500000011,0.86212772,0.8728,
adult_income,extra_trees,confidence,5000,TPR@0.1%FPR,50,0.0037916968657951177,6.367587415437558e-05,0.003686006637168142,0.003789314678245687,0.003921942595368248,0.00023593595820010612,0.003630355846042121,0.003930817610062893,
adult_income,extra_trees,confidence,5000,TPR@1%FPR,50,0.037916968657951175,0.0006367587415437563,0.03686006637168142,0.037893146782456866,0.039219425953682475,0.002359359582001057,0.03630355846042121,0.03930817610062893,
adult_income,extra_trees,confidence,5000,membership_advantage@0.1%FPR,50,0.0027916968657951177,6.367587415437558e-05,0.002686006637168142,0.002789314678245687,0.0029219425953682476,0.00023593595820010568,0.002630355846042121,0.002930817610062893,
adult_income,extra_trees,confidence,5000,membership_advantage@1%FPR,50,0.027916968657951177,0.0006367587415437563,0.026860066371681417,0.027893146782456867,0.029219425953682477,0.0023593595820010603,0.026303558460421206,0.029308176100628927,
adult_income,extra_trees,modified_entropy,250,AUC,50,0.8679614399999999,0.013385589540751256,0.84645,0.869,0.89265,0.04620000000000002,0.84,0.8979999999999999,
adult_income,extra_trees,modified_entropy,250,TPR@0.1%FPR,50,0.0038295922300647604,0.00040204152991774186,0.0032563653451811348,0.003817016317016317,0.004660124663072775,0.0014037593178916406,0.003125,0.004901960784313726,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,modified_entropy,250,TPR@1%FPR,50,0.03829592230064761,0.00402041529917742,0.03256365345181135,0.03817016317016317,0.04660124663072776,0.01403759317891641,0.03125,0.04901960784313726,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,modified_entropy,250,membership_advantage@0.1%FPR,50,0.0028295922300647608,0.00040204152991774186,0.0022563653451811347,0.002817016317016317,0.0036601246630727758,0.001403759317891641,0.002125,0.0039019607843137263,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,modified_entropy,250,membership_advantage@1%FPR,50,0.028295922300647605,0.004020415299177419,0.022563653451811348,0.02817016317016317,0.03660124663072776,0.01403759317891641,0.021249999999999998,0.03901960784313726,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,modified_entropy,500,AUC,50,0.8683773999999999,0.01075879659646383,0.8455745000000001,0.869,0.884775,0.03920049999999986,0.836,0.885,
adult_income,extra_trees,modified_entropy,500,TPR@0.1%FPR,50,0.0038266272296726047,0.00030486307102290175,0.0032562344112840804,0.003816793893129771,0.004347826086956522,0.0010915916756724414,0.003048780487804878,0.004368421052631579,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,modified_entropy,500,TPR@1%FPR,50,0.03826627229672605,0.0030486307102290176,0.032562344112840806,0.03816793893129771,0.043478260869565216,0.01091591675672441,0.03048780487804878,0.043684210526315784,
adult_income,extra_trees,modified_entropy,500,membership_advantage@0.1%FPR,50,0.0028266272296726042,0.0003048630710229018,0.0022562344112840803,0.002816793893129771,0.0033478260869565218,0.0010915916756724414,0.002048780487804878,0.0033684210526315787,severe_tail_resolution_warning: expected false positives < 1
adult_income,extra_trees,modified_entropy,500,membership_advantage@1%FPR,50,0.02826627229672604,0.0030486307102290176,0.0225623441128408,0.02816793893129771,0.033478260869565214,0.010915916756724413,0.020487804878048778,0.03368421052631578,
adult_income,extra_trees,modified_entropy,1000,AUC,50,0.87035782,0.007349394082174519,0.8578375,0.87075,0.8819374999999999,0.0240999999999999,0.8545,0.8825000000000001,
adult_income,extra_trees,modified_entropy,1000,TPR@0.1%FPR,50,0.0038699323019133914,0.0002180775234775909,0.0035171705860395676,0.0038684864266259615,0.0042383535119736495,0.0007211829259340819,0.0034364261168384883,0.00425531914893617,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,modified_entropy,1000,TPR@1%FPR,50,0.03869932301913392,0.0021807752347759095,0.035171705860395676,0.03868486426625961,0.0423835351197365,0.007211829259340823,0.03436426116838488,0.04255319148936171,
adult_income,extra_trees,modified_entropy,1000,membership_advantage@0.1%FPR,50,0.0028699323019133914,0.0002180775234775909,0.0025171705860395676,0.0028684864266259615,0.003238353511973649,0.0007211829259340815,0.0024364261168384883,0.0032553191489361703,tail_resolution_warning: expected false positives < 5
adult_income,extra_trees,modified_entropy,1000,membership_advantage@1%FPR,50,0.028699323019133912,0.0021807752347759095,0.025171705860395674,0.028684864266259612,0.032383535119736497,0.007211829259340823,0.02436426116838488,0.032553191489361706,
adult_income,extra_trees,modified_entropy,2000,AUC,50,0.870218115,0.0046217579035642,0.86028391875,0.8705,0.87833234375,0.018048425000000035,0.85875,0.8797499999999999,
