dataset,model,attack_score,score_role
credit_default,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss
credit_default,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss
credit_default,random_forest,modified_entropy,best_auc_score
credit_default,random_forest,neg_loss,canonical_neg_loss
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss
credit_default,small_mlp,modified_entropy,best_auc_score
credit_default,small_mlp,neg_loss,canonical_neg_loss
covertype,logistic_regression,neg_entropy,best_auc_score
covertype,logistic_regression,neg_loss,canonical_neg_loss
covertype,hist_gradient_boosting,modified_entropy,best_auc_score
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss
covertype,random_forest,neg_entropy,best_auc_score
covertype,random_forest,neg_loss,canonical_neg_loss
covertype,extra_trees,confidence,best_auc_score
covertype,extra_trees,neg_loss,canonical_neg_loss
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss
adult_income,random_forest,modified_entropy,best_auc_score
adult_income,random_forest,neg_loss,canonical_neg_loss
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss
bank_marketing,small_mlp,modified_entropy,best_auc_score
bank_marketing,small_mlp,neg_loss,canonical_neg_loss
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss
diabetes_readmission,random_forest,modified_entropy,best_auc_score
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss
diabetes_readmission,extra_trees,neg_loss,best_auc_score;canonical_neg_loss
diabetes_readmission,small_mlp,modified_entropy,best_auc_score
diabetes_readmission,small_mlp,neg_loss,canonical_neg_loss
