dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,0,AUC,0.7483679999999999,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,0,TPR@1%FPR,0.048,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,0,membership_advantage@1%FPR,0.038,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,0,TPR@0.1%FPR,0.002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,0,membership_advantage@0.1%FPR,0.001,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,1,AUC,0.76744,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,1,TPR@1%FPR,0.052000000000000005,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,1,membership_advantage@1%FPR,0.042,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,1,TPR@0.1%FPR,0.007,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,1,membership_advantage@0.1%FPR,0.006,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,2,AUC,0.7344639999999999,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,2,TPR@1%FPR,0.0744,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,2,membership_advantage@1%FPR,0.0644,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,2,TPR@0.1%FPR,0.006,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,2,membership_advantage@0.1%FPR,0.005,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,3,AUC,0.7929600000000001,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,3,TPR@1%FPR,0.106,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,3,membership_advantage@1%FPR,0.096,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,3,TPR@0.1%FPR,0.018000000000000002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,3,membership_advantage@0.1%FPR,0.017,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,4,AUC,0.757968,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,4,TPR@1%FPR,0.128,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,4,membership_advantage@1%FPR,0.11800000000000001,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,4,TPR@0.1%FPR,0.062,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,4,membership_advantage@0.1%FPR,0.061,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,5,AUC,0.734,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,5,TPR@1%FPR,0.028,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,5,membership_advantage@1%FPR,0.018000000000000002,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,5,TPR@0.1%FPR,0.004,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,5,membership_advantage@0.1%FPR,0.003,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,6,AUC,0.733072,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,6,TPR@1%FPR,0.022000000000000002,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,6,membership_advantage@1%FPR,0.012000000000000002,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,6,TPR@0.1%FPR,0.001,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,6,membership_advantage@0.1%FPR,0.0,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,7,AUC,0.8017679999999999,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,7,TPR@1%FPR,0.066,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,7,membership_advantage@1%FPR,0.056,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,7,TPR@0.1%FPR,0.014499999999999999,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,7,membership_advantage@0.1%FPR,0.013499999999999998,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,8,AUC,0.7503519999999999,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,8,TPR@1%FPR,0.034,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,8,membership_advantage@1%FPR,0.024,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,8,TPR@0.1%FPR,0.004,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,8,membership_advantage@0.1%FPR,0.003,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,9,AUC,0.745256,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,9,TPR@1%FPR,0.048,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,9,membership_advantage@1%FPR,0.038,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,9,TPR@0.1%FPR,0.026000000000000002,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,9,membership_advantage@0.1%FPR,0.025,0.25
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,10,AUC,0.760136,
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,10,TPR@1%FPR,0.048,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,10,membership_advantage@1%FPR,0.038,2.5
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,250,10,TPR@0.1%FPR,0.003,0.25
