dataset,model,attack_score,context,n_nonmembers,target_fpr,expected_false_positives,warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,full_input,15000,0.01,150.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,full_input,15000,0.001,15.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_250,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_250,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_500,500,0.01,5.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_500,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_1000,1000,0.01,10.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_1000,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_2500,2500,0.01,25.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_2500,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_5000,5000,0.01,50.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_5000,5000,0.001,5.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_10000,10000,0.01,100.0,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,sample_size_10000,10000,0.001,10.0,
