dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,0,AUC,0.5883079999999999,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,0,TPR@1%FPR,0.002857142857142857,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,0,membership_advantage@1%FPR,-0.0071428571428571435,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,0,TPR@0.1%FPR,0.0002857142857142857,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,0,membership_advantage@0.1%FPR,-0.0007142857142857144,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,1,AUC,0.625294,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,1,TPR@1%FPR,0.012,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,1,membership_advantage@1%FPR,0.002,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,1,TPR@0.1%FPR,0.0012000000000000001,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,1,membership_advantage@0.1%FPR,0.0002000000000000001,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,2,AUC,0.6002700000000001,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,2,TPR@1%FPR,0.013000000000000001,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,2,membership_advantage@1%FPR,0.003000000000000001,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,2,TPR@0.1%FPR,0.0015,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,2,membership_advantage@0.1%FPR,0.0005,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,3,AUC,0.616646,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,3,TPR@1%FPR,0.014,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,3,membership_advantage@1%FPR,0.004,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,3,TPR@0.1%FPR,0.0014000000000000002,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,3,membership_advantage@0.1%FPR,0.0004000000000000002,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,4,AUC,0.643384,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,4,TPR@1%FPR,0.0088,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,4,membership_advantage@1%FPR,-0.0011999999999999997,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,4,TPR@0.1%FPR,0.00075,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,4,membership_advantage@0.1%FPR,-0.00025,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,5,AUC,0.626812,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,5,TPR@1%FPR,0.0068000000000000005,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,5,membership_advantage@1%FPR,-0.0031999999999999997,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,5,TPR@0.1%FPR,0.0005,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,5,membership_advantage@0.1%FPR,-0.0005,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,6,AUC,0.564856,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,6,TPR@1%FPR,0.014,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,6,membership_advantage@1%FPR,0.004,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,6,TPR@0.1%FPR,0.0014000000000000002,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,6,membership_advantage@0.1%FPR,0.0004000000000000002,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,7,AUC,0.62016,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,7,TPR@1%FPR,0.0224,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,7,membership_advantage@1%FPR,0.0124,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,7,TPR@0.1%FPR,0.008,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,7,membership_advantage@0.1%FPR,0.007,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,8,AUC,0.5789219999999999,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,8,TPR@1%FPR,0.006666666666666667,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,8,membership_advantage@1%FPR,-0.003333333333333333,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,8,TPR@0.1%FPR,0.0006666666666666666,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,8,membership_advantage@0.1%FPR,-0.0003333333333333334,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,9,AUC,0.588786,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,9,TPR@1%FPR,0.006,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,9,membership_advantage@1%FPR,-0.004,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,9,TPR@0.1%FPR,0.0006000000000000001,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,9,membership_advantage@0.1%FPR,-0.00039999999999999996,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,10,AUC,0.597342,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,10,TPR@1%FPR,0.00625,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,10,membership_advantage@1%FPR,-0.00375,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,10,TPR@0.1%FPR,0.000625,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,10,membership_advantage@0.1%FPR,-0.000375,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,11,AUC,0.620618,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,11,TPR@1%FPR,0.022,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,11,membership_advantage@1%FPR,0.011999999999999999,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,11,TPR@0.1%FPR,0.0035,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,11,membership_advantage@0.1%FPR,0.0025,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,12,AUC,0.637122,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,12,TPR@1%FPR,0.012,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,12,membership_advantage@1%FPR,0.002,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,12,TPR@0.1%FPR,0.0012000000000000001,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,12,membership_advantage@0.1%FPR,0.0002000000000000001,0.5
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,13,AUC,0.641386,
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,13,TPR@1%FPR,0.027200000000000002,5.0
adult_income,random_forest_shadow_lira_like_neg_loss,shadow_lira_like_neg_loss,500,13,membership_advantage@1%FPR,0.0172,5.0
