dataset,model,sample_id,membership,neg_loss,shadow_lira_like_neg_loss
credit_default,random_forest,3427,1,-0.20456716418266296,1.8110967874526978
credit_default,random_forest,18397,1,-0.06187540292739868,2.038362503051758
credit_default,random_forest,6868,1,-0.08338160812854767,2.0955393314361572
credit_default,random_forest,20592,1,-0.035627178847789764,1.924605369567871
credit_default,random_forest,17351,1,-0.16841864585876465,2.003781318664551
credit_default,random_forest,2418,1,-0.07257069647312164,2.0708534717559814
credit_default,random_forest,28793,1,-0.03045920841395855,1.8965122699737549
credit_default,random_forest,6396,1,-0.046043939888477325,1.9755358695983887
credit_default,random_forest,26633,1,-0.4155154526233673,-1.1419230699539185
credit_default,random_forest,563,1,-0.02020270749926567,1.8352079391479492
credit_default,random_forest,939,1,-0.0100503358989954,1.7672572135925293
credit_default,random_forest,14659,1,-0.11093156039714813,2.1213722229003906
credit_default,random_forest,25020,1,-0.14502577483654022,2.07961106300354
credit_default,random_forest,28444,1,-0.025317808613181114,1.8667041063308716
credit_default,random_forest,17053,1,-0.37833642959594727,-0.39481794834136963
credit_default,random_forest,1809,1,-0.03045920841395855,1.8965122699737549
credit_default,random_forest,5678,1,-0.056570351123809814,2.01926851272583
credit_default,random_forest,2848,1,-0.02020270749926567,1.8352079391479492
credit_default,random_forest,14568,1,-0.3856624662876129,-0.5343608260154724
credit_default,random_forest,27464,1,-0.0998203381896019,2.117361068725586
credit_default,random_forest,8320,1,-0.076521135866642,2.080824613571167
credit_default,random_forest,21580,1,-0.23572233319282532,1.571468472480774
credit_default,random_forest,2494,1,-0.32158362865448,0.5586047172546387
credit_default,random_forest,15921,1,-0.03045920841395855,1.8965122699737549
credit_default,random_forest,16589,1,-0.07257069647312164,2.0708534717559814
credit_default,random_forest,25762,1,-0.0100503358989954,1.7672572135925293
credit_default,random_forest,5882,1,-0.0998203381896019,2.117361068725586
credit_default,random_forest,14141,1,-0.5108256340026855,-3.5001513957977295
credit_default,random_forest,11801,1,-0.035627178847789764,1.924605369567871
credit_default,random_forest,6423,1,-0.040821995586156845,1.9509559869766235
credit_default,random_forest,1562,1,-0.07257069647312164,2.0708534717559814
credit_default,random_forest,9208,1,-0.07257069647312164,2.0708534717559814
credit_default,random_forest,23067,1,-0.005012542009353638,1.7308542728424072
credit_default,random_forest,12462,1,-0.21072103083133698,1.7691619396209717
credit_default,random_forest,15173,1,-0.13926206529140472,2.0923993587493896
credit_default,random_forest,18678,1,-0.056570351123809814,2.01926851272583
credit_default,random_forest,27713,1,-0.07796154171228409,2.0841879844665527
credit_default,random_forest,12502,1,-0.07257069647312164,2.0708534717559814
credit_default,random_forest,26190,1,-0.0100503358989954,1.7672572135925293
credit_default,random_forest,24060,1,-0.09431067854166031,2.1121597290039062
credit_default,random_forest,9683,1,-0.046043939888477325,1.9755358695983887
credit_default,random_forest,15471,1,-0.2744368314743042,1.1788047552108765
