dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,0,AUC,0.738968,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,0,TPR@1%FPR,0.092,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,0,membership_advantage@1%FPR,0.082,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,0,TPR@0.1%FPR,0.0,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,0,membership_advantage@0.1%FPR,-0.001,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,0,AUC,0.737488,
adult_income,random_forest_reference_centered,ref_logit_margin,250,0,TPR@1%FPR,0.016,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,0,membership_advantage@1%FPR,0.006,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,0,TPR@0.1%FPR,0.004,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,0,membership_advantage@0.1%FPR,0.003,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,0,AUC,0.7800000000000001,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,0,TPR@1%FPR,0.14,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,0,membership_advantage@1%FPR,0.13,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,0,TPR@0.1%FPR,0.012,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,0,membership_advantage@0.1%FPR,0.011,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,1,AUC,0.7519279999999999,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,1,TPR@1%FPR,0.148,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,1,membership_advantage@1%FPR,0.13799999999999998,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,1,TPR@0.1%FPR,0.104,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,1,membership_advantage@0.1%FPR,0.103,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,1,AUC,0.7709359999999998,
adult_income,random_forest_reference_centered,ref_logit_margin,250,1,TPR@1%FPR,0.004,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,1,membership_advantage@1%FPR,-0.006,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,1,TPR@0.1%FPR,0.0,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,1,membership_advantage@0.1%FPR,-0.001,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,1,AUC,0.801696,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,1,TPR@1%FPR,0.22,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,1,membership_advantage@1%FPR,0.21,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,1,TPR@0.1%FPR,0.0,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,1,membership_advantage@0.1%FPR,-0.001,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,2,AUC,0.750472,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,2,TPR@1%FPR,0.004,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,2,membership_advantage@1%FPR,-0.006,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,2,TPR@0.1%FPR,0.004,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,2,membership_advantage@0.1%FPR,0.003,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,2,AUC,0.7387440000000001,
adult_income,random_forest_reference_centered,ref_logit_margin,250,2,TPR@1%FPR,0.072,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,2,membership_advantage@1%FPR,0.06199999999999999,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,2,TPR@0.1%FPR,0.06,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,2,membership_advantage@0.1%FPR,0.059,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,2,AUC,0.7839839999999999,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,2,TPR@1%FPR,0.168,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,2,membership_advantage@1%FPR,0.158,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,2,TPR@0.1%FPR,0.096,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,2,membership_advantage@0.1%FPR,0.095,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,3,AUC,0.7500880000000001,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,3,TPR@1%FPR,0.104,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,3,membership_advantage@1%FPR,0.094,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,3,TPR@0.1%FPR,0.06,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,3,membership_advantage@0.1%FPR,0.059,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,3,AUC,0.738528,
adult_income,random_forest_reference_centered,ref_logit_margin,250,3,TPR@1%FPR,0.048,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,3,membership_advantage@1%FPR,0.038,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,3,TPR@0.1%FPR,0.044,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,3,membership_advantage@0.1%FPR,0.043,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,3,AUC,0.7806639999999999,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,3,TPR@1%FPR,0.176,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,3,membership_advantage@1%FPR,0.16599999999999998,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,3,TPR@0.1%FPR,0.072,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,3,membership_advantage@0.1%FPR,0.071,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,4,AUC,0.761032,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,4,TPR@1%FPR,0.156,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,4,membership_advantage@1%FPR,0.146,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,4,TPR@0.1%FPR,0.136,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,4,membership_advantage@0.1%FPR,0.135,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,4,AUC,0.732904,
adult_income,random_forest_reference_centered,ref_logit_margin,250,4,TPR@1%FPR,0.016,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,4,membership_advantage@1%FPR,0.006,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,4,TPR@0.1%FPR,0.0,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,4,membership_advantage@0.1%FPR,-0.001,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,4,AUC,0.7719759999999999,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,4,TPR@1%FPR,0.224,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,4,membership_advantage@1%FPR,0.214,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,4,TPR@0.1%FPR,0.004,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,4,membership_advantage@0.1%FPR,0.003,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,5,AUC,0.736856,
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,5,TPR@1%FPR,0.068,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,5,membership_advantage@1%FPR,0.058,2.5
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,5,TPR@0.1%FPR,0.004,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,5,membership_advantage@0.1%FPR,0.003,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,5,AUC,0.6975119999999999,
adult_income,random_forest_reference_centered,ref_logit_margin,250,5,TPR@1%FPR,0.028,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,5,membership_advantage@1%FPR,0.018000000000000002,2.5
adult_income,random_forest_reference_centered,ref_logit_margin,250,5,TPR@0.1%FPR,0.02,0.25
adult_income,random_forest_reference_centered,ref_logit_margin,250,5,membership_advantage@0.1%FPR,0.019,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,5,AUC,0.75332,
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,5,TPR@1%FPR,0.2,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,5,membership_advantage@1%FPR,0.19,2.5
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,5,TPR@0.1%FPR,0.0,0.25
adult_income,random_forest_reference_centered,ref_z_logit_margin,250,5,membership_advantage@0.1%FPR,-0.001,0.25
adult_income,random_forest_reference_centered,ref_centered_neg_loss,250,6,AUC,0.762296,
