reference_model,random_state,train_size,reference_train_fraction,fit_seconds,eval_holdout_count
0,20261602,24421,0.5,0.32175341600668617,24421
1,20261603,24421,0.5,0.3108042919775471,24421
2,20261604,24421,0.5,0.3196326670004055,24421
3,20261605,24421,0.5,0.30587212499813177,24421
4,20261606,24421,0.5,0.3068848330003675,24421
5,20261607,24421,0.5,0.33722479100106284,24421
6,20261608,24421,0.5,0.305179249990033,24421
7,20261609,24421,0.5,0.31074112499482,24421
8,20261610,24421,0.5,0.3040148330037482,24421
9,20261611,24421,0.5,0.2962734999891836,24421
10,20261612,24421,0.5,0.29987066600006074,24421
11,20261613,24421,0.5,0.2996376249939203,24421
