dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,0,AUC,0.8731840000000001,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,0,TPR@1%FPR,0.144,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,0,membership_advantage@1%FPR,0.13399999999999998,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,0,TPR@0.1%FPR,0.012,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,0,membership_advantage@0.1%FPR,0.011,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,0,AUC,0.93776,
credit_default,random_forest_reference_centered,ref_logit_margin,250,0,TPR@1%FPR,0.58,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,0,membership_advantage@1%FPR,0.57,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,0,TPR@0.1%FPR,0.108,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,0,membership_advantage@0.1%FPR,0.107,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,0,AUC,0.9299360000000001,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,0,TPR@1%FPR,0.372,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,0,membership_advantage@1%FPR,0.362,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,0,TPR@0.1%FPR,0.056,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,0,membership_advantage@0.1%FPR,0.055,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,1,AUC,0.86272,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,1,TPR@1%FPR,0.208,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,1,membership_advantage@1%FPR,0.19799999999999998,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,1,TPR@0.1%FPR,0.088,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,1,membership_advantage@0.1%FPR,0.087,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,1,AUC,0.9216,
credit_default,random_forest_reference_centered,ref_logit_margin,250,1,TPR@1%FPR,0.34,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,1,membership_advantage@1%FPR,0.33,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,1,TPR@0.1%FPR,0.132,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,1,membership_advantage@0.1%FPR,0.131,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,1,AUC,0.91896,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,1,TPR@1%FPR,0.34,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,1,membership_advantage@1%FPR,0.33,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,1,TPR@0.1%FPR,0.204,0.25
