dataset,model,attack_score,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,AUC,0.4966907555555555,,,,15000,15000
credit_default,logistic_regression,neg_loss,TPR@1%FPR,0.0088,-0.0253388881683349,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0011999999999999,-0.0253388881683349,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,neg_loss,TPR@0.1%FPR,0.0005333333333333,-0.0028104416560381,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-0.0004666666666666,-0.0028104416560381,0.001,1.0,15000,15000
credit_default,logistic_regression,confidence,AUC,0.4949632444444444,,,,15000,15000
credit_default,logistic_regression,confidence,TPR@1%FPR,0.0095333333333333,0.9757964611053468,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@1%FPR,-0.0004666666666666,0.9757964611053468,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,confidence,TPR@0.1%FPR,0.0006,0.9971935153007508,0.001,1.0,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@0.1%FPR,-0.0004,0.9971935153007508,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_entropy,AUC,0.4949632533333333,,,,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@1%FPR,0.0095333333333333,-0.1139757856726646,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@1%FPR,-0.0004666666666666,-0.1139757856726646,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@0.1%FPR,0.0006,-0.0192930158227682,0.001,1.0,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@0.1%FPR,-0.0004,-0.0192930158227682,0.001,1.0,15000,15000
credit_default,logistic_regression,modified_entropy,AUC,0.4966907511111111,,,,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@1%FPR,0.0088,-0.0012679860228672,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@1%FPR,-0.0011999999999999,-0.0012679860228672,0.01,0.999999999999994,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@0.1%FPR,0.0005333333333333,-1.5774987332406454e-05,0.001,1.0,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@0.1%FPR,-0.0004666666666666,-1.5774987332406454e-05,0.001,1.0,15000,15000
credit_default,random_forest,neg_loss,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,TPR@1%FPR,0.0487317829457364,-0.0100503358989954,0.01,0.1627906976744186,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@1%FPR,0.0387317829457364,-0.0100503358989954,0.01,0.1627906976744186,15000,15000
credit_default,random_forest,neg_loss,TPR@0.1%FPR,0.0050697674418604,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@0.1%FPR,0.0040697674418604,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,confidence,AUC,0.729629308888889,,,,15000,15000
credit_default,random_forest,confidence,TPR@1%FPR,0.0474488888888888,0.9900000095367432,0.01,0.1259259259259259,15000,15000
credit_default,random_forest,confidence,membership_advantage@1%FPR,0.0374488888888888,0.9900000095367432,0.01,0.1259259259259259,15000,15000
credit_default,random_forest,confidence,TPR@0.1%FPR,0.0049545454545454,1.0,0.001,0.3409090909090909,15000,15000
credit_default,random_forest,confidence,membership_advantage@0.1%FPR,0.0039545454545454,1.0,0.001,0.3409090909090909,15000,15000
credit_default,random_forest,neg_entropy,AUC,0.729629308888889,,,,15000,15000
credit_default,random_forest,neg_entropy,TPR@1%FPR,0.0474488888888888,-0.0560015328228473,0.01,0.1259259259259259,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@1%FPR,0.0374488888888888,-0.0560015328228473,0.01,0.1259259259259259,15000,15000
credit_default,random_forest,neg_entropy,TPR@0.1%FPR,0.0049545454545454,-2.7631020735330303e-11,0.001,0.3409090909090909,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.0039545454545454,-2.7631020735330303e-11,0.001,0.3409090909090909,15000,15000
credit_default,random_forest,modified_entropy,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,modified_entropy,TPR@1%FPR,0.0487317829457364,-0.0002010067109949,0.01,0.1627906976744186,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@1%FPR,0.0387317829457364,-0.0002010067109949,0.01,0.1627906976744186,15000,15000
credit_default,random_forest,modified_entropy,TPR@0.1%FPR,0.0050697674418604,-1.9999335775516983e-24,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.0040697674418604,-1.9999335775516983e-24,0.001,0.3488372093023256,15000,15000
credit_default,hist_gradient_boosting,neg_loss,AUC,0.5165283933333333,,,,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@1%FPR,0.0096,-0.0394850112497806,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@1%FPR,-0.0004,-0.0394850112497806,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@0.1%FPR,0.0011333333333333,-0.0318088084459304,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@0.1%FPR,0.0001333333333333,-0.0318088084459304,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,confidence,AUC,0.5023527844444444,,,,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@1%FPR,0.0093333333333333,0.9613551497459412,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@1%FPR,-0.0006666666666666,0.9613551497459412,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@0.1%FPR,0.0011333333333333,0.9686917662620544,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@0.1%FPR,0.0001333333333333,0.9686917662620544,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,AUC,0.5023527688888889,,,,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@1%FPR,0.0093333333333333,-0.1636132448911667,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@1%FPR,-0.0006666666666666,-0.1636132448911667,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@0.1%FPR,0.0011333333333333,-0.139260709285736,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@0.1%FPR,0.0001333333333333,-0.139260709285736,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,AUC,0.5165283911111112,,,,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@1%FPR,0.0096,-0.0030573748517781,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@1%FPR,-0.0004,-0.0030573748517781,0.01,0.999999999999994,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@0.1%FPR,0.0011333333333333,-0.0019917550962418,0.001,1.0,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@0.1%FPR,0.0001333333333333,-0.0019917550962418,0.001,1.0,15000,15000
credit_default,extra_trees,neg_loss,AUC,0.9976632533333334,,,,15000,15000
credit_default,extra_trees,neg_loss,TPR@1%FPR,0.9988,-0.0100503358989954,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@1%FPR,0.9888,-0.0100503358989954,0.01,0.7444444444444444,15000,15000
credit_default,extra_trees,neg_loss,TPR@0.1%FPR,0.3654146341463414,0.0,0.001,0.3658536585365853,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@0.1%FPR,0.3644146341463414,0.0,0.001,0.3658536585365853,15000,15000
credit_default,extra_trees,confidence,AUC,0.9970697466666668,,,,15000,15000
credit_default,extra_trees,confidence,TPR@1%FPR,0.9988,0.9900000095367432,0.01,0.53,15000,15000
credit_default,extra_trees,confidence,membership_advantage@1%FPR,0.9888,0.9900000095367432,0.01,0.53,15000,15000
